VR [mV]; IR [mV];
13;56;
13;55;
13;56;
13;54;
13;56;
13;54;
13;55;
13;56;
13;57;
13;58;
13;56;
13;58;
14;58;
13;3;
0;385937;
13;58;
13;56;
13;58;
13;57;
13;57;
13;56;
13;59;
13;57;
13;60;
13;59;
13;57;
13;59;
13;0;
13;906;
13;58;
13;57;
13;57;
13;57;
13;58;
14;61;
13;57;
13;59;
13;58;
13;58;
13;59;
13;59;
13;54;
13;3;
0;268750;
14;58;
13;57;
13;60;
13;60;
13;57;
13;59;
14;56;
13;61;
13;57;
13;56;
13;57;
13;56;
13;48;
13;433;
0;75003;
13;56;
13;55;
14;58;
14;56;
13;56;
13;55;
14;57;
13;54;
13;55;
13;56;
13;56;
13;56;
13;0;
0;200000;
13;60;
14;57;
13;58;
14;58;
13;59;
13;57;
13;57;
13;58;
13;57;
13;57;
13;59;
13;58;
13;0;
13;217;
14;60;
14;59;
14;58;
13;60;
14;58;
13;58;
13;57;
13;58;
13;58;
14;57;
13;60;
13;58;
14;61;
13;55;
0;86718;
14;60;
13;60;
14;59;
13;59;
13;59;
14;60;
13;59;
13;58;
13;59;
13;59;
13;58;
13;57;
13;0;
13;436;
0;212501;
13;56;
14;57;
13;56;
14;59;
14;55;
13;56;
13;56;
14;57;
13;55;
13;57;
13;57;
13;54;
13;6;
0;121484;
13;58;
13;60;
13;57;
13;56;
13;59;
13;57;
13;57;
13;57;
13;58;
13;59;
13;58;
13;58;
13;0;
13;1729;
13;57;
13;56;
13;57;
14;60;
14;55;
14;59;
13;60;
13;58;
13;59;
13;58;
13;57;
14;61;
13;59;
13;3;
0;118750;
13;58;
13;59;
13;60;
14;57;
13;60;
13;59;
13;58;
14;59;
13;60;
13;61;
13;58;
13;61;
13;0;
13;3483;
1;250007;
13;57;
13;57;
14;56;
13;57;
13;58;
13;53;
13;57;
13;55;
13;53;
14;55;
13;54;
13;48;
13;56;
0;225878;
13;55;
13;53;
13;56;
14;55;
14;60;
13;58;
13;58;
13;57;
13;58;
13;59;
13;57;
13;58;
14;0;
12;110156;
13;59;
13;59;
13;56;
14;58;
13;58;
13;58;
13;58;
13;56;
13;58;
14;58;
13;59;
13;59;
14;58;
13;55;
0;350003;
13;57;
13;55;
13;58;
13;57;
13;58;
14;59;
14;60;
13;60;
14;58;
13;59;
13;61;
13;59;
13;48;
14;1761;
13;58;
14;58;
14;56;
13;58;
14;57;
13;56;
13;58;
13;58;
13;54;
14;56;
13;55;
13;56;
13;56;
13;54;
0;125000;
13;54;
13;56;
13;56;
13;56;
13;56;
13;58;
14;59;
13;57;
13;58;
14;57;
