VR [mV]; IR [mV];
1;350007;
13;56;
13;56;
13;55;
13;55;
14;57;
13;48;
13;446;
13;56;
14;59;
13;55;
13;58;
14;56;
13;58;
13;58;
13;58;
14;58;
13;59;
13;58;
13;58;
14;58;
13;3;
0;43359;
14;59;
13;56;
14;58;
13;57;
13;58;
13;59;
13;56;
13;60;
13;59;
13;58;
13;58;
13;57;
13;48;
13;14709;
0;100003;
13;57;
13;59;
14;58;
14;57;
13;58;
13;60;
13;60;
13;58;
14;57;
13;60;
13;57;
13;57;
13;6;
0;60937;
13;57;
13;58;
13;56;
13;58;
13;57;
13;57;
13;56;
13;58;
13;59;
13;55;
13;57;
14;55;
13;0;
13;7391;
0;125003;
13;56;
13;55;
13;57;
13;55;
14;58;
13;54;
13;57;
13;58;
13;57;
13;57;
13;58;
13;58;
13;14;
12;56298;
13;58;
14;57;
14;57;
13;59;
13;58;
13;57;
13;58;
13;59;
13;58;
13;59;
13;58;
14;58;
14;0;
13;1734;
3;200014;
14;59;
13;58;
13;58;
13;56;
13;58;
13;59;
13;58;
13;57;
13;59;
14;61;
13;58;
13;56;
14;13;
0;225585;
13;58;
13;59;
13;58;
13;60;
13;57;
13;58;
13;59;
13;57;
13;54;
14;56;
14;59;
13;56;
13;0;
13;3480;
13;56;
14;54;
13;55;
14;56;
13;56;
13;57;
13;55;
13;56;
13;56;
13;54;
14;57;
13;57;
13;58;
13;104;
0;228320;
13;60;
13;59;
13;57;
13;58;
13;57;
14;58;
13;57;
13;59;
14;58;
13;58;
13;59;
13;59;
14;0;
13;876;
3;14;
14;58;
14;59;
13;57;
13;58;
13;58;
13;58;
13;59;
13;60;
13;58;
13;57;
13;57;
14;60;
14;0;
0;40429;
13;60;
13;59;
13;59;
13;59;
13;57;
13;57;
13;59;
13;59;
14;57;
14;55;
13;56;
14;54;
13;48;
14;897;
0;137501;
13;57;
13;55;
13;57;
13;56;
13;56;
13;55;
13;54;
13;53;
13;58;
13;58;
13;57;
14;54;
13;55;
0;393750;
13;56;
13;55;
13;58;
13;59;
14;60;
13;57;
13;57;
13;58;
13;57;
13;58;
13;60;
14;58;
13;0;
13;3471;
13;57;
13;59;
13;57;
13;58;
13;58;
13;58;
13;57;
13;57;
13;58;
13;57;
13;60;
13;60;
13;56;
13;55;
0;7812;
13;58;
13;60;
13;56;
13;57;
13;58;
13;58;
13;58;
13;58;
14;57;
13;57;
13;56;
13;57;
14;48;
12;28894;
13;58;
13;56;
13;56;
13;58;
13;55;
13;56;
13;55;
14;57;
13;54;
13;57;
13;54;
13;57;
13;57;
13;53;
0;105078;
13;57;
13;57;
13;58;
13;56;
13;57;
13;58;
13;58;
14;57;
13;56;
13;58;
13;59;
13;57;
13;1;
13;6991;
13;58;
13;58;
13;57;
13;58;
14;58;
13;59;
13;58;
13;59;
13;59;
13;57;
13;57;
13;60;
13;59;
13;13;
0;231250;
13;62;
13;59;
13;58;
13;58;
13;60;
13;57;
13;59;
13;59;
13;57;
13;58;
13;59;
13;56;
13;0;
13;7089;
13;58;
13;57;
14;55;
13;55;
13;56;
13;56;
14;56;
13;57;
13;55;
13;54;
13;56;
13;54;
13;56;
13;13;
0;83593;
13;57;
13;58;
13;56;
13;58;
13;59;
13;57;
13;57;
13;57;
13;57;
13;57;
14;57;
14;58;
13;0;
12;14086;
13;58;
14;57;
13;58;
13;60;
13;58;
14;58;
13;58;
13;57;
13;58;
13;58;
13;59;
13;60;
13;48;
13;55;
0;59375;
13;57;
13;57;
13;58;
13;59;
13;60;
13;60;
13;59;
13;58;
13;60;
14;60;
13;61;
14;59;
13;0;
12;113525;
3;100015;
13;56;
13;56;
13;56;
13;55;
13;55;
13;54;
13;56;
13;55;
13;55;
13;55;
14;57;
13;48;
13;54;
0;75003;
13;56;
14;56;
13;59;
13;57;
13;56;
14;58;
13;58;
13;56;
13;57;
13;58;
13;58;
13;57;
13;0;
12;114306;
13;56;
13;59;
13;58;
13;58;
13;60;
13;58;
13;57;
13;58;
13;59;
13;58;
13;58;
14;57;
14;57;
13;27;
0;48437;
13;58;
14;57;
13;57;
13;58;
14;58;
13;60;
13;61;
14;58;
13;59;
13;58;
14;58;
14;61;
13;3;
12;28332;
3;200014;
13;58;
13;59;
14;56;
13;57;
13;57;
14;58;
13;53;
13;55;
14;55;
13;55;
13;56;
13;48;
13;223;
0;120703;
13;56;
13;56;
13;58;
13;57;
13;59;
13;57;
13;58;
14;56;
13;58;
13;57;
13;58;
13;60;
13;1;
13;877;
13;56;
13;57;
13;57;
14;60;
13;59;
13;58;
13;58;
13;58;
13;59;
13;58;
13;56;
13;59;
13;48;
14;54;
0;246875;
13;58;
13;57;
13;57;
13;58;
13;59;
14;60;
14;58;
13;58;
13;59;
13;61;
14;58;
13;59;
13;0;
0;45898;
13;58;
13;59;
13;60;
13;57;
14;57;
13;59;
13;57;
13;57;
13;56;
13;57;
13;54;
14;56;
13;54;
13;13;
0;125003;
13;54;
13;57;
13;52;
14;56;
14;55;
13;54;
14;57;
13;58;
13;58;
14;58;
13;55;
13;57;
13;0;
13;1766;
13;58;
13;60;
13;58;
13;59;
13;60;
13;58;
13;58;
13;57;
13;59;
13;58;
13;58;
13;59;
13;59;
13;54;
3;100014;
13;56;
13;58;
14;59;
13;56;
13;58;
13;57;
13;59;
13;59;
14;59;
13;58;
13;60;
14;59;
13;0;
0;220898;
6;200029;
13;57;
13;57;
14;60;
13;58;
13;59;
13;60;
14;56;
13;58;
13;56;
13;57;
13;57;
13;54;
14;447;
13;57;
13;54;
13;55;
13;57;
13;55;
13;56;
14;55;
13;55;
13;57;
13;55;
13;57;
14;58;
13;57;
13;27;
12;7064;
7;28;
13;58;
13;57;
13;57;
13;57;
13;58;
13;59;
13;57;
13;57;
13;57;
13;56;
13;57;
13;0;
13;219;
3;300014;
13;59;
13;58;
13;58;
13;58;
13;59;
13;58;
13;57;
14;61;
13;58;
13;57;
13;58;
13;58;
13;1;
12;29064;
13;59;
13;57;
13;58;
13;58;
13;58;
13;60;
13;59;
13;58;
13;57;
13;58;
13;59;
13;57;
13;57;
14;54;
1;50006;
14;55;
13;55;
13;55;
14;57;
13;55;
13;56;
13;56;
13;55;
13;57;
13;54;
13;54;
13;59;
13;6;
0;227636;
13;58;
14;58;
13;59;
13;58;
13;57;
14;56;
14;57;
13;58;
13;57;
14;56;
13;57;
13;59;
13;48;
13;909;
6;29;
13;59;
13;57;
13;59;
14;58;
13;59;
13;57;
14;59;
13;57;
13;57;
13;59;
13;58;
13;58;
13;0;
12;57153;
13;57;
13;58;
13;58;
13;59;
13;57;
13;59;
13;59;
13;60;
13;60;
13;56;
13;58;
13;56;
13;0;
13;1808;
6;200029;
13;56;
13;56;
13;57;
14;55;
14;56;
13;55;
13;54;
14;56;
13;57;
13;56;
13;55;
14;55;
13;13;
13;13739;
13;56;
13;57;
13;55;
13;57;
13;58;
13;57;
13;59;
14;58;
13;59;
13;57;
14;58;
13;57;
13;0;
14;13;
0;100000;
13;56;
13;58;
14;58;
13;58;
13;58;
14;59;
13;58;
13;57;
13;58;
13;58;
13;57;
13;57;
13;13;
12;112011;
13;59;
13;58;
14;60;
13;58;
13;58;
13;59;
13;60;
13;60;
14;59;
13;57;
13;59;
13;58;
13;0;
13;109;
0;362501;
13;58;
13;57;
13;57;
13;56;
13;58;
13;57;
13;57;
13;56;
13;55;
13;55;
13;58;
14;55;
14;0;
0;195312;
13;56;
13;56;
13;56;
13;57;
13;54;
13;57;
13;58;
13;57;
13;57;
13;58;
13;58;
14;57;
13;0;
12;3517;
6;29;
14;57;
13;57;
14;60;
13;60;
13;58;
13;58;
13;58;
14;58;
13;58;
13;57;
13;56;
13;57;
13;0;
12;55932;
13;58;
13;58;
13;58;
13;59;
13;59;
13;60;
13;58;
13;60;
13;57;
14;58;
13;59;
13;59;
13;48;
13;425;
14;59;
13;57;
13;57;
13;56;
13;58;
13;58;
13;57;
13;57;
13;58;
13;58;
13;59;
13;55;
13;54;
13;56;
12;114550;
13;55;
13;55;
13;56;
13;55;
13;56;
13;58;
13;57;
13;55;
13;58;
13;55;
14;58;
13;58;
13;48;
13;54;
6;29;
14;57;
13;57;
13;56;
13;55;
13;57;
14;59;
13;57;
13;58;
13;57;
13;59;
13;57;
13;58;
13;28;
0;0;
13;59;
13;59;
13;56;
13;59;
13;58;
13;60;
13;59;
14;58;
14;57;
13;59;
13;60;
13;60;
13;48;
12;7034;
13;57;
13;58;
13;58;
13;57;
14;58;
13;55;
13;55;
13;59;
14;57;
13;58;
13;56;
14;58;
13;54;
13;0;
0;393750;
13;58;
13;56;
13;58;
13;55;
13;55;
14;56;
13;56;
13;53;
13;58;
13;59;
13;55;
13;58;
13;48;
12;27966;
13;56;
13;58;
14;57;
14;56;
13;56;
13;58;
13;57;
13;57;
13;58;
13;59;
13;58;
14;59;
14;59;
14;27;
0;186718;
13;56;
13;58;
13;58;
13;58;
13;57;
13;57;
13;58;
13;59;
13;58;
14;56;
13;59;
13;59;
13;48;
14;868;
13;59;
13;59;
13;59;
13;58;
13;59;
14;58;
13;60;
13;58;
13;56;
13;58;
13;55;
13;56;
14;56;
13;27;
0;92968;
13;58;
13;55;
13;54;
13;55;
14;56;
14;55;
13;56;
13;54;
13;58;
14;56;
14;59;
14;56;
13;0;
13;7083;
6;28;
13;57;
13;57;
14;57;
13;59;
13;59;
14;58;
13;58;
14;57;
13;58;
13;58;
13;58;
14;57;
13;3;
0;106640;
13;57;
14;58;
14;60;
13;59;
13;57;
13;57;
13;59;
13;57;
13;58;
13;58;
13;60;
13;56;
13;0;
12;14355;
7;200030;
14;58;
13;61;
13;59;
13;58;
13;60;
14;60;
14;58;
13;59;
13;59;
13;58;
13;58;
13;54;
13;55;
0;77343;
13;58;
13;58;
13;57;
13;56;
14;55;
13;55;
13;54;
13;57;
13;55;
13;56;
13;56;
13;55;
14;0;
13;900;
0;300003;
13;55;
13;57;
13;55;
13;58;
13;58;
13;56;
14;57;
13;57;
13;57;
14;58;
13;59;
13;57;
13;27;
0;140625;
13;57;
14;58;
13;57;
14;59;
13;58;
13;58;
13;57;
13;56;
13;57;
14;58;
13;59;
13;58;
14;48;
12;27880;
3;14;
13;60;
13;58;
13;59;
13;59;
13;58;
13;57;
13;60;
14;58;
14;57;
13;59;
13;58;
13;55;
13;54;
0;62501;
13;61;
