VR [mV]; IR [mV];
13;59;
14;60;
14;59;
13;58;
13;59;
13;58;
13;59;
13;58;
13;58;
13;58;
13;0;
12;28552;
13;56;
13;56;
14;55;
13;54;
13;55;
13;56;
13;56;
14;56;
13;57;
13;56;
13;58;
14;58;
14;48;
14;56;
0;42187;
13;57;
13;59;
13;57;
13;57;
14;60;
13;58;
14;59;
13;59;
13;56;
13;56;
13;58;
13;58;
13;1;
13;873;
13;60;
13;57;
14;57;
13;58;
13;57;
13;58;
14;60;
13;60;
13;58;
14;55;
13;58;
13;58;
14;59;
13;1;
0;384375;
13;58;
13;60;
13;58;
13;61;
13;60;
14;60;
13;58;
13;59;
13;56;
13;59;
13;58;
13;56;
13;48;
13;1753;
13;56;
14;57;
13;57;
13;56;
13;57;
13;55;
14;56;
13;54;
13;55;
13;55;
13;57;
13;59;
14;57;
13;13;
0;21875;
13;57;
13;56;
13;58;
13;55;
14;59;
13;55;
13;58;
13;59;
13;58;
13;57;
13;58;
13;59;
13;0;
13;1741;
1;350007;
13;59;
13;58;
13;57;
13;57;
13;59;
13;56;
13;58;
13;57;
13;58;
13;56;
13;57;
13;57;
13;110;
0;68750;
13;56;
13;59;
14;58;
14;58;
13;59;
14;59;
14;58;
14;60;
13;57;
13;59;
13;58;
13;58;
13;0;
14;453;
13;57;
13;59;
13;57;
14;60;
14;58;
13;56;
13;57;
14;56;
13;58;
13;56;
13;56;
13;56;
13;48;
13;13;
0;300000;
14;55;
13;54;
13;57;
13;55;
14;56;
13;56;
13;56;
13;56;
13;57;
13;58;
13;58;
14;58;
13;1;
13;894;
14;58;
13;58;
13;56;
13;56;
13;59;
13;59;
13;59;
13;58;
13;60;
14;59;
13;61;
13;58;
13;54;
13;54;
0;56250;
13;58;
13;58;
13;59;
13;57;
13;58;
13;57;
13;58;
13;58;
13;58;
13;58;
13;58;
13;59;
13;0;
13;220;
13;59;
13;60;
14;58;
13;58;
13;58;
14;57;
13;60;
13;58;
14;60;
13;58;
13;58;
13;56;
13;56;
14;223;
0;325000;
13;55;
13;55;
14;55;
13;55;
13;53;
13;57;
13;56;
14;55;
13;57;
13;55;
13;59;
14;56;
13;1;
12;112744;
1;150007;
13;58;
13;58;
13;56;
13;60;
13;58;
13;58;
13;58;
13;56;
13;56;
13;58;
13;56;
13;48;
14;6;
0;375001;
13;57;
13;57;
13;58;
13;57;
13;60;
13;58;
13;58;
13;58;
14;59;
13;58;
13;58;
13;58;
13;0;
12;27478;
13;57;
13;59;
13;57;
14;57;
14;58;
13;59;
13;60;
13;58;
13;59;
13;60;
13;60;
13;59;
13;54;
13;218;
0;398437;
13;57;
13;58;
14;56;
13;56;
13;58;
14;55;
13;54;
13;57;
13;55;
14;55;
13;56;
13;58;
13;0;
12;57128;
14;55;
13;55;
13;57;
13;59;
14;58;
13;56;
13;53;
13;59;
13;58;
13;59;
13;57;
13;56;
13;54;
14;14;
0;62500;
13;58;
13;56;
13;57;
13;59;
13;58;
13;58;
13;56;
13;58;
13;58;
13;56;
13;58;
13;59;
13;0;
12;6967;
13;57;
13;57;
14;58;
13;58;
13;58;
13;59;
13;59;
13;57;
13;58;
13;58;
13;58;
13;60;
13;54;
13;13;
0;53125;
13;59;
13;57;
13;57;
14;59;
13;58;
13;56;
14;58;
13;58;
13;55;
13;54;
13;56;
13;56;
13;0;
13;7034;
13;57;
13;55;
13;55;
13;55;
14;56;
13;55;
13;57;
13;57;
13;56;
13;58;
13;57;
13;59;
13;0;
13;436;
0;91406;
13;56;
14;58;
13;55;
13;56;
13;59;
13;56;
13;59;
