VR [mV]; IR [mV];
2524;3397;
2523;3348;
2524;80733;
2523;4510;
2520;7251;
2521;7907;
2524;5416;
2527;2959;
2527;2771;
2523;5421;
2521;7965;
2523;7423;
2526;4518;
2363;203145;
2526;3073;
2523;6366;
2522;8057;
2523;246215;
2527;3842;
2527;2643;
2525;4382;
2522;7131;
2522;7789;
2524;5733;
2528;2984;
2527;2606;
2523;5167;
2520;7746;
2523;7349;
2526;4638;
2527;2453;
2526;3212;
157;125376;
2521;7933;
2523;6411;
2527;3790;
2528;40442;
2525;3817;
2522;6781;
2522;7487;
2525;5481;
2528;2885;
2528;2372;
2524;4569;
2522;7343;
2522;7196;
2526;4619;
1582;18766;
2526;2906;
2524;5720;
2522;7653;
2523;246040;
2527;3840;
2528;1914;
2525;3405;
2523;6269;
2522;7549;
2524;5698;
2527;2828;
2528;2169;
2525;4335;
2521;6983;
2523;7165;
2526;4836;
2528;2273;
2526;2350;
630;101324;
2522;7282;
2523;6398;
2525;3606;
2528;323640;
2526;3095;
2522;6142;
2522;7291;
2525;4726;
2528;2671;
2527;2046;
2525;4061;
2522;6593;
2522;6936;
2525;4692;
2528;1962;
2527;1979;
2523;4979;
2522;7200;
2520;366906;
2526;3487;
2528;1636;
2526;2735;
2523;5046;
2522;7293;
2524;5563;
2527;2527;
2528;1361;
2525;3370;
2522;6467;
2522;6941;
2525;4729;
2528;2078;
2527;2020;
78;325138;
2521;6945;
2523;6549;
2526;3760;
2528;161831;
2527;2485;
2523;5120;
2522;7001;
2524;315;
2528;2465;
2528;1456;
2525;3083;
2523;6111;
2523;6900;
2525;4591;
2528;1910;
2528;1646;
2524;3963;
2521;6830;
2443;169537;
2526;3520;
2528;1364;
2527;2174;
2523;161512;
2522;6691;
2524;5660;
2527;2758;
2529;1123;
2526;2709;
2522;5868;
2522;6653;
2525;4450;
2527;1999;
2527;1271;
315;300425;
2521;6377;
2523;6385;
2526;3586;
2526;377209;
2526;1716;
2524;4514;
2521;6769;
2523;10096;
2527;2919;
2528;936;
2526;2208;
2522;5265;
2523;6418;
2524;4662;
2528;1736;
2528;1126;
2525;3102;
2522;5968;
78;250197;
2526;3697;
2528;1358;
2527;1462;
2523;246272;
2522;6440;
2523;5500;
2527;2679;
2528;1123;
2526;1853;
2523;5207;
2522;6298;
2524;4830;
2527;1797;
2528;1040;
2525;2682;
2521;5966;
2522;6117;
2527;3769;
2527;314404;
2527;1152;
2524;3409;
2522;6288;
2523;20188;
2526;2955;
2529;783;
2526;1857;
2523;4539;
2522;6577;
2524;4795;
2527;1966;
2528;764;
2525;2578;
2522;5419;
2353;64086;
2525;3682;
2528;1179;
2527;906;
2514;279687;
2522;6171;
2523;5586;
2526;2966;
2528;1264;
2527;1570;
2523;4205;
2522;6280;
2524;4870;
2528;1885;
2528;412;
2525;2163;
2523;4973;
2522;5995;
2525;3918;
2515;217969;
2527;665;
2524;3188;
2522;5918;
2523;40371;
2526;2983;
2528;771;
2527;1082;
2524;3784;
2521;6092;
2524;4789;
2527;2111;
2527;278;
2526;2010;
2523;4828;
157;325388;
2524;4007;
2528;1424;
2527;555;
2523;185650;
2521;5694;
2523;5497;
2526;3097;
2528;1264;
2526;1161;
2524;3708;
2521;5835;
2523;4949;
2527;1940;
2527;458;
2526;1617;
2523;4688;
2522;6185;
2524;3895;
2348;122658;
2527;505;
2524;2389;
2521;5462;
2522;80725;
2525;3014;
2528;701;
2527;889;
2524;3203;
2521;5880;
2523;5227;
2527;2199;
2529;294;
2525;1479;
2523;4117;
2522;5781;
2524;4292;
2527;1502;
2528;267;
2443;321877;
2521;5090;
2522;5902;
2525;3279;
2528;1264;
2527;891;
2524;3201;
2520;5758;
2523;5030;
2526;2351;
2528;439;
2526;1178;
2523;3882;
2522;5869;
2524;4161;
631;100370;
2527;300;
2525;2121;
2521;5064;
2522;91415;
2525;3504;
2527;629;
2527;377;
2524;157;
2521;5544;
2522;5443;
2526;2574;
2528;549;
2526;1028;
2523;3716;
2522;5994;
2524;4609;
2527;1585;
2527;58;
2363;275013;
2522;4465;
2521;5768;
2525;3590;
2528;161735;
2526;337;
2524;2568;
2521;5571;
2522;5488;
2525;2804;
2528;583;
2526;1045;
2523;3566;
2521;5797;
2523;4632;
2526;1502;
2528;399995;
2526;1591;
2522;4344;
2491;253518;
2525;3785;
2528;810;
2527;171;
2524;315;
2521;5301;
2522;5444;
2525;2507;
2528;289;
2527;803;
2523;3357;
2521;5877;
2523;4842;
2527;1916;
2528;176;
157;250082;
2523;4066;
2521;5852;
2524;3919;
2527;40447;
2528;339;
2525;2122;
2522;5025;
2523;3164;
2526;3101;
2528;398;
2527;590;
2524;2973;
2521;5650;
2523;4895;
2526;2161;
2528;269;
2527;1200;
2524;4005;
2514;260791;
2524;4184;
2527;1079;
2527;2;
2526;10103;
2522;4725;
2522;5563;
2525;3193;
2527;489;
2527;400;
2524;2960;
2521;5499;
2523;5142;
2526;2310;
2528;320;
2526;1068;
2523;3641;
2522;5969;
2523;4310;
2528;247175;
2528;248;
2525;1793;
2522;4666;
2522;5045;
2525;3383;
2527;637;
2527;502;
2524;2672;
2521;5409;
2522;5122;
2527;2261;
2528;485;
2526;813;
2523;3539;
1562;0;
2524;4625;
2527;1549;
2528;67;
2525;20201;
2522;4415;
2522;5813;
2525;3612;
2528;880;
2527;266;
2524;2608;
2521;5236;
2522;5219;
2525;2761;
2528;233;
2527;496;
2524;3147;
2522;5769;
2524;4681;
2527;350781;
2528;230;
2527;1458;
2522;3943;
2522;2522;
2525;3830;
2528;844;
2527;1;
2525;2271;
2521;5067;
2522;5433;
2525;2938;
2528;430;
2527;602;
2524;3227;
630;101430;
2524;4973;
2527;1938;
2528;25;
2526;323400;
2523;4129;
2521;5945;
2525;4145;
2527;157;
2527;399966;
2525;2221;
2523;5086;
2523;5529;
2525;2897;
2528;557;
2528;429;
2524;2766;
2521;5522;
2523;4996;
2443;3908;
2527;138;
2526;1093;
2524;3726;
2521;161388;
2524;4285;
2527;1272;
2527;154;
2525;1905;
2522;4629;
2522;5643;
2525;3082;
2528;698;
2527;415;
2524;2661;
2521;5584;
2522;5178;
2526;2461;
2528;153;
2525;323440;
2523;3721;
2521;5885;
2523;4363;
2526;10106;
2528;111;
2525;1666;
2522;4595;
2522;6022;
2525;3526;
2528;844;
2528;462;
2524;2656;
2520;5441;
2522;5394;
78;312582;
2528;264;
2526;918;
2524;3658;
2521;322874;
2525;4510;
2527;1594;
2528;65;
2526;1572;
2522;4496;
2522;5908;
2524;3781;
2527;1047;
2527;488;
2524;2598;
2521;5185;
2522;5427;
2526;2898;
2527;306;
2346;394141;
2523;3505;
2521;5834;
2523;4827;
2527;1263;
2528;232;
2526;1515;
2522;4442;
2521;5982;
2525;4081;
2527;1129;
2527;323;
2525;2434;
2521;5154;
2521;5632;
2525;3111;
2528;671;
2526;664;
2523;3178;
2521;80694;
2523;5114;
2526;2134;
2528;443;
2526;1181;
2523;4118;
2521;5998;
2524;4192;
2527;1474;
2527;180;
2525;2139;
2521;5046;
2522;5696;
2524;3317;
2528;780;
39;362510;
2523;3196;
2521;5764;
2522;5137;
2527;20212;
2528;380;
2526;1185;
2522;3935;
2521;6057;
2524;4560;
2527;1519;
2528;166;
2525;2087;
2522;4778;
2522;5884;
315;100467;
2528;1065;
2527;589;
2524;2929;
2514;251563;
2523;5489;
2525;2470;
2528;456;
2525;20213;
2523;3849;
2521;5987;
2523;4767;
2527;1951;
2528;371;
2525;1788;
2522;4800;
2522;5922;
2524;3805;
2527;937;
2348;28125;
2523;2796;
2520;5385;
2522;5453;
2525;40404;
2527;628;
2525;1200;
2523;3721;
2519;5861;
2522;4765;
2525;1937;
2527;333;
2524;1673;
2520;4724;
2520;6006;
2523;3959;
2525;1226;
2526;629;
2523;2661;
2519;180841;
2521;5477;
2525;3195;
2526;641;
